title,type,country,release_year,rating,duration,genre,description
Beyblade: Metal Fusion,TV Show,Japan,2009,G,1 Season,Anime,"In this anime adventure series for kids the forces of good and evil ""blade it out "" battling each other with enchanted spinning tops."
Chhota Bheem & Ganesh,Movie,,2009,G,68 min,Children & Family Movies,Bheem and Lord Ganesha join forces to save Dholakpur from fire-spitting dragons who have also captured Ganesh’s mouse companion!
Chhota Bheem aur Krishna,Movie,India,2009,G,68 min,Children & Family Movies,Centuries after the end of a conqueror's rule he is mysteriously back from the dead. It’s up to Bheem to save Dholakpur from being taken over!
Garfield's Pet Force,Movie,South Korea,2009,G,78 min,Children & Family Movies,When an alien menace and her army of undead minions threaten to enslave the world Garfield heads a team of comic-strip superheroes to save the day.
Hachi: A Dog's Tale,Movie,United Kingdom,2009,G,93 min,Children & Family Movies,When his master dies a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day.
Krish Trish and Baltiboy,Movie,,2009,G,58 min,Children & Family Movies,A team of minstrels including a monkey cat and donkey narrate folktales from the Indian regions of Rajasthan Kerala and Punjab.
Life on Location,TV Show,United States,2009,G,1 Season,British TV Shows,"Members of the BBC's ""Life"" production crew go behind the scenes to explain just what it took to capture key sequences of the program."
Océans,Movie,France,2009,G,84 min,Documentaries,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.
Power Rangers RPM,TV Show,United States,2009,G,1 Season,Kids' TV,The Power Rangers' new member Dillon isn't sure he wants to be on the team until he has a dream that sets the Rangers into action.
The Princess and the Frog,Movie,United States,2009,G,98 min,Children & Family Movies,In New Orleans during the Jazz Age a beautiful girl named Tiana has a fateful encounter with frog prince who desperately wants to be human again.
Angelina Ballerina,TV Show,,2010,G,2 Seasons,British TV Shows,Angelina is crazy about ballet dancing even though she's a young mouse and studies hard with a famous teacher to become a prima ballerina.
Barbie in A Mermaid Tale,Movie,United States,2010,G,74 min,Children & Family Movies,Surf champ Merliah discovers she's actually a mermaid in a girl's body. With the help of a dolphin Merliah must rescue her mom the Queen of Oceana.
Barbie: A Fairy Secret,Movie,United States,2010,G,72 min,Children & Family Movies,When devilish fairies capture Ken and fly away with him Barbie and Raquelle travel to the glittering fairy world of Gloss Angeles to save him.
Barney and Friends,TV Show,,2010,G,2 Seasons,Kids' TV,Barney the purple dinosaur Baby Bop and B.J. are still bringing smiles to kids' faces with their nonstop adventures stories games and guests.
Chandani: The Daughter of the Elephant Whisperer,Movie,Germany,2010,G,87 min,Documentaries,A girl who wants to be an elephant driver like her father is given the chance to raise a calf and becomes even more determined when it's taken away.
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Movie,,2010,G,66 min,Children & Family Movies,Krishna needs Bheem’s help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?
Chhota Bheem: Bheem vs Aliens,Movie,,2010,G,69 min,Children & Family Movies,Space invaders have kidnapped Dholakpur’s king and princess! The only way Bheem can rescue them? Defeat the aliens in a cricket match.
Harriet the Spy: Blog Wars,Movie,United States,2010,G,87 min,Children & Family Movies,Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.
Kikoriki,TV Show,,2010,G,2 Seasons,Kids' TV,A wacky rabbit and his gang of animal pals have fun solving problems sharing stories and exploring their sometimes magical always special world.
Krish Trish and Baltiboy: Part II,Movie,,2010,G,58 min,Children & Family Movies,Animal minstrels narrate stories about a monkey's friendship with a crocodile two monkeys' foolishness and a villager's encounter with a demon.
Kung Fu Magoo,Movie,Mexico,2010,G,79 min,Children & Family Movies,Shortsighted curmudgeon Mr. Magoo and his young nephew Justin fight such nefarious foes as kung fu villains robot spiders and teenage mutants.
Mighty Morphin Power Rangers,TV Show,United States,2010,G,4 Seasons,Kids' TV,Five average teens are chosen by an intergalactic wizard to become the Power Rangers who must use their new powers to fight the evil Rita Repulsa.
Monster High: New Ghoul at School,Movie,United States,2010,G,23 min,Children & Family Movies,Insecure new student Frankie Stein struggles to fit in at Monster High where ultra-cool ghoul Cleo De Nile and hunky monster Deuce rule the roost.
Santa's Apprentice,Movie,Australia,2010,G,72 min,Children & Family Movies,Young orphan Nicolas learns how to guide a sleigh slide down chimneys and other duties he'll need when he becomes the next Santa Claus.
The Boy Who Cried Werewolf,Movie,United States,2010,G,86 min,Children & Family Movies,When high school girl-geek Jordan becomes a werewolf after moving to Romania she must elude her own brother who sets out to slay her.
The Jungle Book,TV Show,India,2010,G,1 Season,Kids' TV,This animated series follows young Mowgli and his animal mentors Bagheera and Baloo who do their best to protect him from fierce tiger Shere Khan.
Timmy Time,TV Show,United Kingdom,2010,G,1 Season,British TV Shows,This delightful animated series centers on impish lamb Timmy as he enters nursery school where he learns about sharing responsibility and fairness.
A Holiday Engagement,Movie,United States,2011,G,92 min,Children & Family Movies,Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family.
Barbie: Princess Charm School,Movie,United States,2011,G,80 min,Children & Family Movies,Blair Willows is excited when she gets to go to Princess Charm School where she meets princesses Delancy and Hadley and searches for a magic crown.
Chhota Bheem & Krishna: Mayanagari,Movie,,2011,G,67 min,Children & Family Movies,Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?
Chhota Bheem: Journey to Petra,Movie,,2011,G,68 min,Children & Family Movies,The king has been away to meet an old friend but when he sends for urgent help Bheem finds himself on an action-packed rescue mission to Egypt!
Chhota Bheem: Master of Shaolin,Movie,,2011,G,74 min,Children & Family Movies,Summoned by a monk to help reclaim a temple from a dangerous leader Bheem must master the Shaolin kung fu techniques if he wants a fighting chance!
Geronimo Stilton,TV Show,Italy,2011,G,1 Season,Kids' TV,With the help of brainy and adventurous sidekicks New Mouse City's favorite journalist investigates mysteries that take him around the world 
Huntik: Secrets and Seekers,TV Show,United States,2011,G,2 Seasons,Kids' TV,A high school student searching for his missing father joins a secret group known as the Seekers who ally with aliens to protect the world from evil.
Iron Man: Armored Adventures,TV Show,Canada,2011,G,2 Seasons,Kids' TV,Teen phenom Tony Stark takes to the skies with an ingeniously engineered suit of armor to learn the truth about his father's mysterious death.
Justin Bieber: Never Say Never,Movie,United States,2011,G,106 min,Documentaries,Teen idol Justin Bieber provides personal snapshots from throughout his career culminating with scenes from his triumphant 2010 concert tour.
LeapFrog: Numberland,Movie,United States,2011,G,33 min,Movies,With transport support from their magic car Axel the LeapFrog pets make a new friend named Max who helps them learn counting skills in Numberland.
LeapFrog: Phonics Farm,Movie,United States,2011,G,35 min,Movies,Scout takes a magical trip to a farm where an alligator and other friendly critters teach him all about sounding out the letters of the alphabet.
LeapFrog: Sing-along Read-along,Movie,,2011,G,32 min,Children & Family Movies,Using rhythm and rhymes a funky band and a colorful cast of characters help make reading sounding out vowels and building words easy and fun!
Monster High: Fright On!,Movie,United States,2011,G,46 min,Children & Family Movies,Big changes are afoot at Monster High when administrators announce a merger with two other schools designed to bring all monsters together.
Monty Don's Italian Gardens,TV Show,United Kingdom,2011,G,1 Season,British TV Shows,From horticultural hideaways to luxurious botanical displays TV personality Monty Don explores the history behind Italy’s most extraordinary gardens.
Oscar's Oasis,TV Show,France,2011,G,1 Season,Kids' TV,Plucky lizard Oscar spends his time trying to avoid the hazards of the desert including marauding chickens and bumbling adversaries.
Pajanimals,TV Show,United States,2011,G,1 Season,Kids' TV,From the comfort of their bedroom the Pajanimals puppets explore a larger world through imaginary adventures accompanied by friendships and songs.
Power Rangers Samurai,TV Show,United States,2011,G,1 Season,Kids' TV,A new generation of Power Rangers must master the Symbols of Samurai Power which give them control over the Earth's elements to battle dark forces.
Power Rangers Samurai: Christmas Together Friends Forever (Christmas Special),Movie,United States,2011,G,24 min,Movies,On Christmas Eve as the teens at Shiba House reflect on their first year together they get an unexpected lesson on the true spirit of the holidays.
Power Rangers Samurai: Clash of the Red Rangers,Movie,United States,2011,G,46 min,Children & Family Movies,The Samurai Rangers team up with the RPM Ranger Red to fight off Master Xandred's Mooger army and a robotic villain from the RPM Ranger's dimension.
Power Rangers Samurai: Party Monsters (Halloween Special),Movie,United States,2011,G,24 min,Movies,On Halloween night the creepiest creatures from the Netherworld trade war stories about their battles with the Samurai Power Rangers.
Thor: Tales of Asgard,Movie,United States,2011,G,77 min,Children & Family Movies,Thor the Marvel comic book character comes to life in this animated feature that explores his earliest adventures with his brother Loki.
Upin & Ipin,TV Show,Malaysia,2011,G,1 Season,Kids' TV,Two mischievous yet lovable five-year-old twins and their friends enjoy daily life and new discoveries with the residents of their Malaysian village.
Abominable Christmas,Movie,United States,2012,G,44 min,Children & Family Movies,Two small abominable snowmen flee their mountain to escape a scientist who's trying to capture them and end up spending Christmas with a human family.
An American Girl: McKenna Shoots for the Stars,Movie,United States,2012,G,94 min,Children & Family Movies,A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor she gets her confidence back.
Barbie Life in the Dreamhouse,TV Show,United States,2012,G,1 Season,Kids' TV,Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.
Barbie: The Princess & the Popstar,Movie,United States,2012,G,75 min,Children & Family Movies,Barbie stars as a princess who would rather sing and dance than be a royal. When a famous pop star visits the kingdom they decide to switch places.
Care Bears: Welcome to Care-a-Lot,TV Show,United States,2012,G,1 Season,Kids' TV,Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot home to the magical Care Bears who each have a special talent.
Chhota Bheem and the Curse of Damyaan,Movie,India,2012,G,87 min,Children & Family Movies,An evil demon who traded his freedom for immortality lures Chhota Bheem and his friends to the city of Sonapur with tales of hidden treasure.
Chhota Bheem Aur Hanuman,Movie,,2012,G,68 min,Children & Family Movies,When two evil entities kidnap a princess in a plot to build a new kingdom Bheem takes them on with the help of the courageous monkey god Hanuman.
Chhota Bheem: Dholakpur to Kathmandu,Movie,,2012,G,70 min,Children & Family Movies,Bheem’s holiday in Nepal takes an unexpected turn when he is called on to save a monkey cub from snow leopards and reunite him with his father.
Chhota Bheem: The Rise of Kirmada,Movie,,2012,G,68 min,Children & Family Movies,Bheem and young lord Krishna team up to protect the world against the wicked and powerful Kirmada and his equally dangerous bat army.
Dear Dracula,Movie,United States,2012,G,43 min,Children & Family Movies,When he gets a fan letter from a young monster movie buff Dracula visits him and soon has a new friend helping him to get his confidence back.
Justin Time,TV Show,Canada,2012,G,2 Seasons,Kids' TV,In Justin's dreams he and his imaginary friends Olive and Squidgy travel around the world learning about nature and other cultures.
Krish Trish and Baltiboy: Comics of India,Movie,,2012,G,61 min,Children & Family Movies,In three comic-strip-style tales a boy tries to sell wisdom a demon is released from captivity and a king assigns impossible tasks to his minister.
Luv Kushh,TV Show,,2012,G,1 Season,Kids' TV,Based on the last book of the epic Ramayana this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.
