title,type,country,release_year,rating,duration,genre,description
Tezz,Movie,United Kingdom,2012,MA,121 min,Action & Adventure,This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him.
The Beat,TV Show,,2012,MA,1 Season,International TV Shows,The artistic pursuits of two childhood friends an aspiring singer and a talented dancer lead them to four other 20-somethings in a drumming group.
The Fear,TV Show,United Kingdom,2012,MA,1 Season,British TV Shows,Richie Beckett is an aging Brighton crime boss who's struggling with the onset of dementia just as a rival gang is trying to take over his territory.
The Mistress,Movie,Philippines,2012,MA,132 min,Dramas,The mistress of a wealthy businessman is torn between her loyalty to him and her love for a young architect connected to her in unexpected ways.
The Player,Movie,Egypt,2012,MA,110 min,Comedies,To save his father’s company from bankruptcy a rich spoiled playboy is forced to wed a no-nonsense woman who's just as unhappy to be marrying him.
Todd Glass: Stand-Up Special,Movie,United States,2012,MA,46 min,Stand-Up Comedy,Standup comedian Todd Glass gets right down to it with sly observations on accepting directions denying compliments and being afraid of the dark.
Vexed,TV Show,United Kingdom,2012,MA,2 Seasons,British TV Shows,Charming slacker DI Jack Armstrong and driven professional DI Kate Bishop try to solve crimes together without driving each other crazy.
Weeds,TV Show,United States,2012,MA,8 Seasons,TV Comedies,A suburban mother starts selling marijuana to her affluent neighbors so she can maintain her comfortable lifestyle after her husband's sudden death.
20 Minutes,TV Show,Turkey,2013,MA,1 Season,Crime TV Shows,When his wife is convicted of murder a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.
A Young Doctor's Notebook and Other Stories,TV Show,United Kingdom,2013,MA,2 Seasons,British TV Shows,Set during the Russian Revolution this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.
Attack on Titan,TV Show,Japan,2013,MA,1 Season,Anime,With his hometown in ruins young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.
Aziz Ansari: Buried Alive,Movie,United States,2013,MA,80 min,Stand-Up Comedy,"""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood babies marriage love and more in the modern era."
Berserk: The Golden Age Arc III - The Advent,Movie,Japan,2013,MA,107 min,Action & Adventure,A year after he left the Band of the Hawk Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate.
Blind Detective,Movie,Hong Kong,2013,MA,130 min,Action & Adventure,When a cop loses his vision his detecting skills stay sharp. Luckily a rookie officer recognizes his extraordinary powers of deduction.
Blitz Patrollie,Movie,South Africa,2013,MA,102 min,Action & Adventure,Caught between family pressures and small-time crime-fighting a pair of bumbling cops tries to bust a massive drug deal and go down in history.
Bo Burnham: what.,Movie,United States,2013,MA,60 min,Stand-Up Comedy,Left brain and right brain duke it out – and ultimately belt out a melody – in stand-up comedian Bo Burnham's quick and clever one-man show.
Bombay Talkies,Movie,India,2013,MA,123 min,Dramas,A gay man deals with his sexuality a struggling actor has an epiphany a boy becomes a dancer and a man tries to fulfill his father's dying wish.
Botched Up Bodies,TV Show,United Kingdom,2013,MA,1 Season,British TV Shows,From lifting saggy skin to repairing shoddy breast enhancements plastic surgeons tackle extreme fixer-uppers.
Breaking Bad,TV Show,United States,2013,MA,5 Seasons,Crime TV Shows,A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.
City of God: 10 Years Later,Movie,Brazil,2013,MA,69 min,Documentaries,"A decade after the seminal Brazilian film ""City of God "" this documentary reunites some of the cast and crew to find out what paths their lives took."
Cold Harbour,Movie,South Africa,2013,MA,73 min,Action & Adventure,When a war breaks out between competing gangs of smugglers in Cape Town South Africa an honest cop is pressured to work for a powerful crime lord.
Confusion Na Wa,Movie,Nigeria,2013,MA,106 min,Comedies,A misplaced cell phone's incriminating content becomes a prime blackmail opportunity for a pair of petty thieves who soon regret their greedy scheme.
Dabbe: The Possession,Movie,Turkey,2013,MA,135 min,Horror Movies,Ahead of her wedding Kübra is possessed by demons. When an examination reveals more horror her friend a psychiatrist tries to perform an exorcism.
Dexter,TV Show,United States,2013,MA,8 Seasons,Crime TV Shows,By day mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night he is a serial killer who only targets other murderers.
Doctor Bello,Movie,United States,2013,MA,96 min,Dramas,A troubled doctor sets out to save the life of a miracle worker who cured his cancer patient using an unprecedented and mysterious remedy.
Düğün Dernek,Movie,Turkey,2013,MA,102 min,Comedies,On the first day of Ramadan Ismail joins friends on a road trip to a mosque and encounters his son who to Ismail's chagrin plans a hasty wedding.
El Reemplazante,TV Show,Chile,2013,MA,2 Seasons,International TV Shows,A former high-ranking financial executive finds redemption and romance when he's paroled after a prison sentence and becomes a math teacher.
Exit Afghanistan,Movie,Norway,2013,MA,58 min,Documentaries,Featuring interviews with participants on all sides this documentary questions Norway and the West's protracted military involvement in Afghanistan.
Fireflies,Movie,India,2013,MA,99 min,Dramas,Grappling with love and loss in their respective lives two estranged brothers must confront their traumatic unresolved past when they cross paths.
Ghadi,Movie,Lebanon,2013,MA,101 min,Comedies,When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized miraculous events begin to occur.
Ghanchakkar,Movie,India,2013,MA,129 min,Comedies,Former con artist Sanju surrounds himself with the finer things a blissful life troubled by only one thing: his wife who wants even more.
Ghost Pain,Movie,Japan,2013,MA,58 min,Action & Adventure,World War IV is over but a bomb has gone off in Newport City killing a major arms dealer who may have ties with the mysterious 501 Organization.
Gina Yashere: Laughing to America,Movie,,2013,MA,68 min,Stand-Up Comedy,British comic Gina Yashere takes the stage in San Francisco where she shares her thoughts on everything from toilet ninjas to her troublesome name.
Grand Masti,Movie,India,2013,MA,93 min,Comedies,Leaving their wives at home three randy friends look forward to some raunchy extramarital fun at their college reunion.
Hükümet Kadin,Movie,Turkey,2013,MA,100 min,Comedies,When an uneducated mother of eight suddenly becomes mayor she uses the skills she's learned as a housewife to keep her town running like clockwork.
I Am Divine,Movie,United States,2013,MA,90 min,Documentaries,This captivating documentary explores the life and work of filmmaker John Waters's muse: internationally celebrated drag superstar Divine.
Inkaar,Movie,India,2013,MA,125 min,Dramas,An ad agency CEO is put under investigation when his ambitious protégée – and lover – accuses him of sexual harassment vying for his top position.
Issaq,Movie,India,2013,MA,140 min,Dramas,Two young lovers in Banaras are caught in the crossfire of a feud between their powerful families and a political climate destroying their city.
John Day,Movie,India,2013,MA,125 min,International Movies,A bank manager and his wife still grieving over their daughter who died in a fire become pawns in a bank heist with ties to corruption and fraud.
Kai Po Che!,Movie,India,2013,MA,120 min,Dramas,This Bollywood drama tells the story of three best friends who dream of starting a cricket training academy in Ahmedabad for very different reasons.
Liar's Dice,Movie,India,2013,MA,104 min,Dramas,A woman from a small mountain village disobeys her village elders and sets out for the big city in search of her missing husband.
Love Family,TV Show,Taiwan,2013,MA,1 Season,International TV Shows,A wealthy heir's search for a nameless childhood sweetheart leads him to an inn run by a family with three sisters. But which one is his true love?
Magi: The Labyrinth of Magic,TV Show,Japan,2013,MA,2 Seasons,Anime,A land of mysterious ruins and a magical treasure hunt await young Aladdin and his courageous friend Alibaba for the adventure of their lives.
Marc Maron: Thinky Pain,Movie,United States,2013,MA,95 min,Stand-Up Comedy,Alternative comic Marc Maron is back on stage in New York to talk Chinese food drug abuse sex in hotel rooms and life with his girlfriend.
Mortified Nation,Movie,United States,2013,MA,84 min,Documentaries,This comic documentary follows the Mortified movement a series of stage events where adults share awkward childhood moments in front of strangers.
My Tattoo Addiction,TV Show,United Kingdom,2013,MA,1 Season,British TV Shows,Ink junkies dig skin deep and share personal stories about their collection of body art.
Nymphomaniac: Volume II,Movie,Denmark,2013,MA,124 min,Dramas,The second half of Lars von Trier's epic follows Joe as her reignited sex addiction destroys her family and thrusts her toward a surprising new trade.
Pee Mak,Movie,Thailand,2013,MA,112 min,Comedies,Mak's friends just want to protect him but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.
Prague,Movie,India,2013,MA,106 min,Dramas,The chaotic ramblings of a young architect's mind take hold of his life as he leaves behind his past in India to work in Prague.
Radical: the Controversial Saga of Dada Figueiredo,Movie,Brazil,2013,MA,71 min,Documentaries,This film chronicles the career of surfer Dadá Figueiredo whose stormy personal life upended his status as a trendsetting '70s sports hero.
Rise of the Zombie,Movie,India,2013,MA,83 min,Horror Movies,A heartbroken wildlife photographer throws himself into his work only to find himself experiencing strange transformations.
Romantik Komedi 2: Bekarlığa Veda,Movie,Turkey,2013,MA,105 min,Comedies,Didem tries everything to get actor Cem to propose to her but he's got other things on his mind: a beautiful new co-star and a secret bachelor party.
Sacro GRA,Movie,Italy,2013,MA,91 min,Documentaries,Italian filmmaker Gianfranco Rosi turns his eye to his own country roaming and filming for over two years in a minivan on Rome's giant ring road.
Saheb Biwi Aur Gangster Returns,Movie,India,2013,MA,139 min,Dramas,Knotty love triangles and nefarious schemes arise when a nobleman’s plans to remarry fall into the cunning hands of his first wife and a vengeful rival.
SDU: Sex Duties Unit,Movie,Hong Kong,2013,MA,96 min,Comedies,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.
Soekarno,Movie,Indonesia,2013,MA,142 min,Dramas,This biographical drama about Indonesia's first president recounts his nationalist crusade to seize independence from Dutch colonial rule.
Sommore: Chandelier Status,Movie,United States,2013,MA,77 min,Stand-Up Comedy,Luminous funnywoman Sommore wows Miami with her unique take on body modification Internet sex the world of celebrities and more.
Spartacus,TV Show,United States,2013,MA,4 Seasons,TV Action & Adventure,A Thracian man is condemned to a brutal death in the arena only to outlast his executioners and be reborn as the enslaved gladiator Spartacus.
Starred Up,Movie,United Kingdom,2013,MA,106 min,Dramas,A British juvenile offender's violent temper gets him transferred to an adult prison where he encounters his estranged father.
Şubat,TV Show,Turkey,2013,MA,1 Season,Crime TV Shows,An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets where he falls for a reporter linked to his past.
That Winter the Wind Blows,TV Show,South Korea,2013,MA,1 Season,International TV Shows,Seeing the chance to enrich himself by deceiving a blind heiress clever con man Oh Soo just does what comes naturally – but his plans soon change.
The Borgias,TV Show,United States,2013,MA,3 Seasons,TV Dramas,Follow the lives of the notorious Borgia family a clan headed by plotting patriarch Rodrigo and his beautiful but treacherous daughter Lucrezia.
The Bulbul's Nest,Movie,,2013,MA,96 min,Comedies,A taxi driver longs to be a pop singer but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer.
The Congress,Movie,Israel,2013,MA,123 min,Dramas,Actress Robin Wright plays herself in this surreal drama about a film star who agrees to have her digital image recorded for reuse in future films.
The Guild,TV Show,United States,2013,MA,1 Season,TV Comedies,Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.
The IT Crowd,TV Show,United Kingdom,2013,MA,5 Seasons,British TV Shows,Aided by a tech-illiterate manager a pair of basement-dwelling dweebs makes the most of life in IT at a corporation run by a cloddish new owner.
The Meaning of Monty Python,Movie,United Kingdom,2013,MA,60 min,Documentaries,"Five Pythons reflect on their creative process politics television and the making of their award-winning final film ""The Meaning of Life."""
The Square,Movie,United Kingdom,2013,MA,105 min,Documentaries,This Emmy-winning street-level view of the 2011 Egyptian Revolution captures the astonishing uprising that led to the collapse of two governments.
Waar,Movie,Pakistan,2013,MA,130 min,Action & Adventure,When Pakistani authorities learn of a looming terrorist strike they ask a retired intelligence officer to counter the attack before it's too late.
War Against Women,Movie,United States,2013,MA,61 min,Documentaries,Filmed over three years in 10 countries this documentary gives voice to the women who have become victims of sexual violence as weapons of war.
Welcome Mr. President,Movie,Italy,2013,MA,99 min,Comedies,When frustrated politicians name a historical figure as the next president an honest humble man by the same name suddenly becomes Italy's leader.
Would You Rather,Movie,United States,2013,MA,93 min,Horror Movies,In need of cash to help her sick brother a young woman agrees to take part in a lethal winner-takes-all parlor game hosted by a sadistic millionaire.
#Selfie,Movie,Romania,2014,MA,125 min,Comedies,Two days before their final exams three teen girls make a seaside getaway to have the time of their lives.
6-5=2,Movie,India,2014,MA,103 min,Horror Movies,Six friends decide to undertake a grueling mountain trek only to find that the difficulties in store for them are not merely physical.
An Upper Egyptian,Movie,Egypt,2014,MA,85 min,Comedies,Eager to settle down Abdullah searches for the right woman to marry – but the one he truly longs for may not feel the same way.
Bad Education,TV Show,United Kingdom,2014,MA,3 Seasons,British TV Shows,A history teacher at the posh Abbey Grove Alfie Wickers is something truly special: He's his school's if not England's single worst educator.
Bad Grandpa .5,Movie,United States,2014,MA,87 min,Comedies,The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise which features unused footage from the first film.
Bad Guys,TV Show,South Korea,2014,MA,1 Season,Crime TV Shows,Reinstated to eradicate the worst crimes in the city a detective requests the release of three convicts to enlist their help in catching the felons.
Bill Burr: I'm Sorry You Feel That Way,Movie,United States,2014,MA,81 min,Stand-Up Comedy,Bill Burr escapes the zombie apocalypse explores how rom-coms ruin great sex and explains how too many childhood hugs may be the downfall of man.
Black Money Love,TV Show,Turkey,2014,MA,1 Season,Crime TV Shows,After a cop's fiancée and a jewelry designer's father are found dead together the two bereaved ones face a perilous aftermath of a theft gone wrong.
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Movie,United States,2014,MA,26 min,Movies,"It's Christmas and BoJack wants nothing to do with it. Then Todd shows up with a giant candy cane and an old ""Horsin' Around"" Christmas episode."
Camp X,TV Show,Canada,2014,MA,1 Season,Docuseries,Established during World War II North America's first secret agent training school – known as Camp X – paved the way for present-day espionage.
Chelsea Handler: Uganda Be Kidding Me Live,Movie,United States,2014,MA,71 min,Stand-Up Comedy,In her first Netflix stand-up comedy special Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence).
Chelsea Peretti: One of the Greats,Movie,United States,2014,MA,75 min,Stand-Up Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special."
Conjuring Spirit,Movie,Vietnam,2014,MA,112 min,Horror Movies,In the wake of her husband's betrayal a novelist and mother moves to an old building where she receives a music box and encounters a strange spirit.
Consequences,Movie,Turkey,2014,MA,106 min,Dramas,Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.
Consequences ,Movie,Turkey,2014,MA,106 min,Dramas,Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.
Copenhagen,Movie,Canada,2014,MA,99 min,Dramas,Philandering his way across Europe to find the grandfather he's never met William unexpectedly befriends a 14-year-old who changes how he sees women.
D.L. Hughley: Clear,Movie,United States,2014,MA,59 min,Stand-Up Comedy,In this 2014 standup special filmed in San Francisco comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more.
Dabbe 5: Zehr-i Cin,Movie,Turkey,2014,MA,133 min,Horror Movies,When Dilek becomes haunted by evil spirits and loses control of her body she seeks the help of a woman with dark secrets to cure her.
Deliha,Movie,Turkey,2014,MA,102 min,Comedies,Short on sense but long on self-confidence dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood.
E-Team,Movie,United States,2014,MA,90 min,Documentaries,The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.
El patrón radiografía de un crimen,Movie,Argentina,2014,MA,100 min,Dramas,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
Expelled from Paradise,Movie,Japan,2014,MA,103 min,Action & Adventure,"In the wake of a global catastrophe the human survivors are ""uploaded"" into a cyber network but someone or something is infiltrating the system."
From A to B,Movie,United Arab Emirates,2014,MA,104 min,Comedies,To celebrate the memory of their pal who passed away three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.
Ghost Tears,Movie,Japan,2014,MA,58 min,Action & Adventure,As Motoko and Batou attempt to thwart a mysterious terrorist group Togusa tracks the killer of a man with a prosthetic leg made by Mermaid's Leg.
Haider,Movie,India,2014,MA,154 min,Dramas,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.
Honeytrap,Movie,United Kingdom,2014,MA,94 min,Dramas,New to London a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.
Hungerford,Movie,United Kingdom,2014,MA,79 min,Horror Movies,While filming his daily life for a media course Cowen discovers his small English town may be under an ominous and otherworldly influence.
Imperial Dreams,Movie,United States,2014,MA,86 min,Dramas,A young father returns home from jail eager to care for his son and become a writer but crime poverty and a flawed system threaten his plans.
Jeff Dunham: All Over the Map,Movie,United States,2014,MA,84 min,Stand-Up Comedy,America's most beloved ventriloquist hits the road bringing along all of his most popular pals including Achmed Peanut and Walter.
Jim Jefferies : BARE,Movie,United States,2014,MA,77 min,Stand-Up Comedy,Nothing is sacred in this show from Australian comic Jim Jefferies whether it’s the mother of his child auditioning disabled actors or gun control.
Kill la Kill,TV Show,Japan,2014,MA,1 Season,Anime,"The ""woman with the scissor blade"" – Ryuko Matoi – searches for clues all around the world for the truth behind her father's death."
Kraftidioten,Movie,Norway,2014,MA,117 min,Comedies,When he sets out to avenge his son's murder mild-mannered snowplow driver Nils sparks a war between a Norwegian mobster and his Serbian rival.
Leyla and Mecnun,TV Show,Turkey,2014,MA,3 Seasons,International TV Shows,Destiny brings Mecnun and Leyla together as newborns and again years later. Despite unexpected turns in Mecnun's zany life Leyla remains a constant.
Lilyhammer,TV Show,Norway,2014,MA,3 Seasons,Crime TV Shows,After testifying against the Mafia ex-gangster Frank Tagliano enters witness protection and asks to be sent to Norway.
Locust,TV Show,Russia,2014,MA,1 Season,Crime TV Shows,A torrid affair between a passionate lowborn poet and a wealthy Moscow heiress is engulfed by class difference criminality and eventually murder.
Macchli Jal Ki Rani Hai,Movie,India,2014,MA,118 min,Horror Movies,After relocating to a different town with her husband a housewife begins to sense the existence of a mysterious presence in their new house.
May We Chat,Movie,Hong Kong,2014,MA,99 min,Dramas,A messaging app unites a mute prostitute an unruly rich girl and a stormy young woman three Hong Kong teens living in pain and excess.
Metallica: Some Kind of Monster,TV Show,United States,2014,MA,1 Season,TV Shows,This collection includes the acclaimed rock documentary about Metallica plus a film checking in with the still-thriving group 10 years later.
Midnight Diner,TV Show,Japan,2014,MA,3 Seasons,International TV Shows,A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story but his customers each bring him theirs.
Misaeng,TV Show,South Korea,2014,MA,1 Season,International TV Shows,Equipped with nothing more than a GED and strategies for the game of go an office intern gets thrown into the cold reality of the corporate world.
Miss J Contemplates Her Choice,Movie,Singapore,2014,MA,89 min,Dramas,The life of a radio talk-show host is turned upside down after a murderous caller dials into her program and asks her to choose his next victim.
Monty Python Best Bits (mostly),TV Show,United Kingdom,2014,MA,1 Season,British TV Shows,Prominent comedians pay tribute to Monty Python's best work in this five-part series along with selected clips of sketches.
Monty Python Live (Mostly): One Down Five to Go,Movie,United Kingdom,2014,MA,137 min,Comedies,Live from London in a sold-out final show surviving members of the British comedy troupe reprise old roles and break out in irreverent song and dance.
Monty Python: The Meaning of Live,Movie,United Kingdom,2014,MA,94 min,Documentaries,From heyday to curtain call this documentary offers a rare glimpse of the legendary Monty Python troupe as it stages live shows after a long hiatus.
Mumbai Delhi Mumbai,Movie,India,2014,MA,107 min,Comedies,In Delhi for the first time a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her.
No Game No Life,TV Show,Japan,2014,MA,1 Season,Anime,Legendary gamer siblings Sora and Shiro are transported to a world where life is a series of games and humanity is in grave danger of extinction.
Olmo & the Seagull,Movie,Denmark,2014,MA,82 min,Dramas,A pregnancy forces an actress out of her latest play and into a difficult confrontation with her own rapidly transforming reflection.
Parasyte: The Maxim,TV Show,Japan,2014,MA,1 Season,Anime,A teenager battles an onslaught of parasites from space with help from Migi a docile parasitic creature that's taken over his right hand.
Patron Mutlu Son Istiyor,Movie,Turkey,2014,MA,105 min,Comedies,Sent to a remote village to write a screenplay Sinan finds inspiration to spare in colorful locals farcical misadventures and the craziness of love.
Pek Yakında,Movie,Turkey,2014,MA,134 min,Comedies,An ex-movie extra plans to win his wife back by making a fantasy film but neither he nor his crew has a knack for filmmaking.
Queen,Movie,India,2014,MA,138 min,Comedies,Dumped by her fiancé a sheltered young woman decides to go on her honeymoon to Europe alone embarking on an exhilarating journey of self-discovery.
Ragini MMS 2,Movie,India,2014,MA,113 min,Horror Movies,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
Reply 1994,TV Show,South Korea,2014,MA,1 Season,International TV Shows,All hailing from various parts of Korea a group of college students go from being complete strangers to a big happy family at a Seoul boarding house.
Roh's Beauty,Movie,Egypt,2014,MA,98 min,Dramas,Hoping to earn money to support her son a single mother sings in a nightclub where danger lurks around every corner.
Sadece Sen,Movie,Turkey,2014,MA,105 min,Dramas,An ex-boxer falls in love with a blind woman and starts to build a new life but his violent past returns to endanger them both.
Stereo,Movie,Germany,2014,MA,91 min,International Movies,"Erik's peaceful rural family life is shaken by the arrival of sinister figures who claim to know him and a mysterious ""friend"" who may not even exist."
Suicide (Hitabdut),Movie,Israel,2014,MA,114 min,International Movies,A failed businessman must kill himself to pay off a loan shark or his family will die but a detective discovers the case turns on a shocking secret.
Suite Française,Movie,United Kingdom,2014,MA,107 min,Dramas,Waiting for news of her prisoner-of-war husband a French woman in Nazi-occupied France reluctantly falls for a German officer quartering in her home.
Sunrise,Movie,India,2014,MA,85 min,Dramas,While investigating a child kidnapping a Mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter.
Swearnet Live,Movie,Canada,2014,MA,75 min,Comedies,"""Trailer Park Boys"" John Paul Tremblay Robb Wells and Mike Smith host this foulmouthed live kick-off of their Web-based Swearnet network."
Tamanchey,Movie,India,2014,MA,111 min,Action & Adventure,A man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency.
The Battered Bastards of Baseball,Movie,United States,2014,MA,80 min,Documentaries,The colorful true story of the Portland Mavericks a scrappy independent baseball team of underdogs started by actor Bing Russell in the 1970s.
The Forgotten,Movie,United Kingdom,2014,MA,89 min,Horror Movies,After a teenager goes to live with his father in abandoned public housing he hears strange noises and decides to investigate with his new friend.
The Incident,Movie,Mexico,2014,MA,100 min,International Movies,Two criminals race down a stairwell a cop close behind. A bickering family begins a road trip. Their journeys will take far longer than expected.
The Perfect Dictatorship,Movie,Mexico,2014,MA,143 min,Comedies,After accepting a colossal bribe a powerful TV conglomerate gins up fake news stories to enhance the image of a notoriously corrupt politician.
The Royal Bengal Tiger,Movie,India,2014,MA,103 min,Dramas,Knocked down by life one too many times a meek family man drastically transforms from shy to savage after an encounter with a mysterious friend.
The Shaukeens,Movie,India,2014,MA,123 min,Comedies,Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius.
Time Is Illmatic,Movie,United States,2014,MA,75 min,Documentaries,Providing a behind-the-scenes look at the making of Nas's debut album this documentary also delves into his deep connection to his New York roots.
Tom Segura: Completely Normal,Movie,United States,2014,MA,74 min,Stand-Up Comedy,Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.
Trailer Park Boys Live at the North Pole,Movie,Canada,2014,MA,89 min,Movies,Bubbles's plan to spread the true meaning of Christmas is dashed by Julian's wish to cash in on the holiday and Ricky's quest to meet the real Santa.
Trailer Park Boys Live In F**kin' Dublin,Movie,Canada,2014,MA,81 min,Movies,The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.
Trip to Bhangarh: Asia's Most Haunted Place,Movie,India,2014,MA,113 min,International Movies,To amuse themselves six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in Asia.
Virunga,Movie,United Kingdom,2014,MA,100 min,Documentaries,The Oscar-nominated true story of the rangers risking their lives to save Africa's most precious national park and its endangered gorillas.
Wartime Portraits,TV Show,Poland,2014,MA,1 Season,Docuseries,Part live-action and part animation this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.
We Are Young. We Are Strong.,Movie,Germany,2014,MA,123 min,Dramas,In 1992 three radically different residents of Rostock Germany become entangled in a violent xenophobic riot that rocks the beleaguered city.
Who Am I,Movie,Germany,2014,MA,102 min,International Movies,After his compatriots are murdered by Russian gangsters a hacker confesses the history of his elite fame-seeking group to a Europol investigator.
Winter Sun,TV Show,Turkey,2014,MA,1 Season,International TV Shows,Years after ruthless businessmen kill his father and order the death of his twin brother a modest fisherman adopts a new persona to exact revenge.
Wyatt Cenac: Brooklyn,Movie,United States,2014,MA,68 min,Stand-Up Comedy,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.
Zed Plus,Movie,India,2014,MA,131 min,Comedies,A philandering small-town mechanic's political ambitions are sparked when the visiting prime minister mistakenly grants him special security clearance.
3 Türken & ein Baby,Movie,Germany,2015,MA,93 min,Comedies,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
6 Years,Movie,United States,2015,MA,80 min,Dramas,As a volatile young couple who have been together for six years approach college graduation unexpected career opportunities threaten their future.
A Heavy Heart,Movie,Germany,2015,MA,109 min,Dramas,Long past his heyday a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal degenerative neural disorder.
A Noble Intention,Movie,Netherlands,2015,MA,111 min,Dramas,In 1888 Amsterdam a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.
A Patch of Fog,Movie,United Kingdom,2015,MA,92 min,Dramas,When a guard catches a writer-television host shoplifting instead of turning him in he only asks to be a friend then begins to rule his life.
A Second Chance,Movie,Philippines,2015,MA,130 min,Dramas,Following their storybook wedding Popoy and Basha find married life – and starting a business together – more challenging than they ever imagined.
Abzurdah,Movie,Argentina,2015,MA,90 min,Dramas,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
Across The Line,Movie,Canada,2015,MA,88 min,Dramas,A black high school student sets his sights for the National Hockey League but rising racial tensions in his community may jeopardize his goals.
Advantageous,Movie,United States,2015,MA,92 min,Dramas,In order to keep her job at a biomedical engineering firm that prizes youth a middle-aged woman must submit to a drastic experimental procedure.
Ali Baba ve 7 Cüceler,Movie,Turkey,2015,MA,115 min,Action & Adventure,A garden gnome vendor and his brother-in-law attend a trade fair in Sofia where they accidentally stumble into shenanigans involving a mafia boss.
Amar Akbar & Tony,Movie,United Kingdom,2015,MA,92 min,Comedies,The brotherly bond between three childhood friends – one Sikh one Muslim and one Catholic – is tested by the often comic absurdities of adulthood.
Angry Indian Goddesses,Movie,India,2015,MA,104 min,Dramas,A photographer invites a close-knit group of female pals to her Goa home to announce her engagement which stirs up a riot of emotion in all of them.
Anthony Jeselnik: Thoughts and Prayers,Movie,United States,2015,MA,59 min,Stand-Up Comedy,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
Aziz Ansari Live at Madison Square Garden,Movie,United States,2015,MA,58 min,Stand-Up Comedy,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants relationships and the food industry."
Barça Dreams,Movie,Spain,2015,MA,122 min,Documentaries,Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.
Be Here Now,Movie,United States,2015,MA,110 min,Documentaries,"Trace the brave journey of actor Andy Whitfield who received a devastating cancer diagnosis while starring in the series ""Spartacus: Blood and Sand."""
Beasts of No Nation,Movie,United States,2015,MA,137 min,Dramas,When civil war tears his family apart a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.
Before 30,TV Show,Nigeria,2015,MA,1 Season,International TV Shows,Four female friends in the fast-paced city of Lagos Nigeria endure public and private pressures to walk down the aisle by the age of 30.
